   UID   PID  PPID   C STIME   TTY           TIME CMD
  501  2355     1   0 пт03  ??         0:14.06 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501  2358     1   0 пт03  ??         0:00.18 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  501  2359     1   0 пт03  ??         0:00.29 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501  2360     1   0 пт03  ??         0:01.20 /usr/sbin/usernoted
  501  2361     1   0 пт03  ??         0:00.17 /System/Library/CoreServices/backgroundtaskmanagementagent
  501  2362     1   0 пт03  ??         0:08.20 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
  501  2364     1   0 пт03  ??         0:11.43 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501  2365     1   0 пт03  ??         0:00.30 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501  2366     1   0 пт03  ??         0:00.22 /usr/libexec/pboard
  501  2367     1   0 пт03  ??         0:00.10 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501  2368     1   0 пт03  ??         0:02.89 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501  2369     1   0 пт03  ??         0:06.50 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501  2370     1   0 пт03  ??         0:01.52 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  501  2371     1   0 пт03  ??         0:00.76 /usr/libexec/dmd
  501  2372     1   0 пт03  ??         0:01.38 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  501  2373     1   0 пт03  ??         1:24.47 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501  2374     1   0 пт03  ??         0:00.77 /System/Library/CoreServices/sharedfilelistd
  501  2375     1   0 пт03  ??         0:11.90 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501  2376     1   0 пт03  ??         0:00.78 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501  2377     1   0 пт03  ??         0:01.52 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501  2378     1   0 пт03  ??         0:00.06 /System/Library/CoreServices/APFSUserAgent
  501  2379     1   0 пт03  ??         0:02.77 /usr/libexec/rapportd
  501  2380     1   0 пт03  ??         0:04.14 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501  2381     1   0 пт03  ??         0:01.60 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501  2382     1   0 пт03  ??         0:04.10 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501  2383     1   0 пт03  ??         0:00.98 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501  2384     1   0 пт03  ??         0:00.83 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501  2385     1   0 пт03  ??         0:15.36 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501  2386     1   0 пт03  ??         0:00.98 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  501  2387     1   0 пт03  ??         0:02.78 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501  2388     1   0 пт03  ??         0:00.73 /System/Library/CoreServices/iconservicesagent
  501  2389     1   0 пт03  ??         0:00.27 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501  2390     1   0 пт03  ??         0:13.35 /usr/libexec/sharingd
  501  2391     1   0 пт03  ??         0:00.04 /usr/libexec/spindump_agent
  501  2392     1   0 пт03  ??         0:00.23 /usr/libexec/networkserviceproxy
  501  2394     1   0 пт03  ??         0:02.11 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501  2395     1   0 пт03  ??         0:04.78 /usr/libexec/nsurlsessiond
  501  2396     1   0 пт03  ??         0:00.13 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
